[2022-09-07T08:21:49.264613+02:00] KrisnaBeaute\BelajarPhpMvc\HandlerTest.INFO: Belajar Pemrograman PHP Logging [] []
[2022-09-07T08:21:49.313700+02:00] KrisnaBeaute\BelajarPhpMvc\HandlerTest.INFO: Selamat Datang di Krisna Beaute [] []
[2022-09-07T08:21:49.313770+02:00] KrisnaBeaute\BelajarPhpMvc\HandlerTest.INFO: Ini Informasi Aplikasi Logging [] []
[2022-09-07T08:24:24.302460+02:00] KrisnaBeaute\BelajarPhpMvc\HandlerTest.INFO: Belajar Pemrograman PHP Logging [] []
[2022-09-07T08:24:24.303769+02:00] KrisnaBeaute\BelajarPhpMvc\HandlerTest.INFO: Selamat Datang di Krisna Beaute [] []
[2022-09-07T08:24:24.303812+02:00] KrisnaBeaute\BelajarPhpMvc\HandlerTest.INFO: Ini Informasi Aplikasi Logging [] []
[2022-09-07T08:40:57.357060+02:00] KrisnaBeaute\BelajarPhpMvc\LevelTest.DEBUG: This is Debug [] []
[2022-09-07T09:28:23.636140+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-57 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.636174+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-58 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.636208+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-59 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.636241+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-60 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.636275+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-61 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.636311+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-62 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.636345+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-63 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.636378+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-64 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.636412+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-65 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.636446+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-66 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
